Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Khúc Vương Tình,Lee Ken,Khúc Vương Tình,2IqbsCGagR8OSwuKhgFZEe,1rJcX81TAyqq8oEZT7pqbb,28,2022-11-19,223774,False,https://open.spotify.com/track/1rJcX81TAyqq8oEZT7pqbb,0.706,0.643,10,-9.968,0,0.0704,0.139,0.0,0.129,0.897,115.028
ĐỢI (Prod. RIO),52Hz,ĐỢI (Prod. RIO),1lUZ3071nJ3asd2DBQy6dm,5C1O3fpMsiisJpHiB1uuDf,64,2023-12-15,197000,False,https://open.spotify.com/track/5C1O3fpMsiisJpHiB1uuDf,0.505,0.499,2,-9.134,1,0.0309,0.425,0.0852,0.0574,0.237,77.767
Tò Te Tí,"Wren Evans, itsnk",LOI CHOI: The Neo Pop Punk,1c4nTHI2hreFeF5P37wf4f,0X28PqBpbQhWdi4usYw0w5,63,2023-12-17,195000,False,https://open.spotify.com/track/0X28PqBpbQhWdi4usYw0w5,0.736,0.697,5,-8.883,1,0.109,0.00123,0.00148,0.0483,0.841,160.094
Em Xinh,"MONO, Onionn.",ĐẸP,0Y4fLNVEo2CKhaHEb0CjJ3,6IHLOkgZftkcqS3fM0jMCT,62,2023-11-30,183237,False,https://open.spotify.com/track/6IHLOkgZftkcqS3fM0jMCT,0.606,0.795,6,-5.508,1,0.25,0.374,0.000788,0.0759,0.657,189.788
Anh Là Ngoại Lệ Của Em,Phương Ly,Anh Là Ngoại Lệ Của Em,7kHOyM8XfyIBmOYKBXPzA2,6KgZf5gZgF1KLNxq1qZgHP,64,2023-10-05,188108,False,https://open.spotify.com/track/6KgZf5gZgF1KLNxq1qZgHP,0.844,0.677,6,-5.958,1,0.0564,0.171,2.34e-05,0.387,0.791,111.006
bé ơi từ từ,"Wren Evans, itsnk",LOI CHOI: The Neo Pop Punk,1c4nTHI2hreFeF5P37wf4f,0tGmDUHDoT8pxYhgAT3yNG,62,2023-12-17,200727,False,https://open.spotify.com/track/0tGmDUHDoT8pxYhgAT3yNG,0.782,0.383,9,-12.702,0,0.0616,0.0522,0.000124,0.095,0.236,109.971
nếu lúc đó,"tlinh, 2pillz",ái,0LM9Cm43Sug8Hfpm84qmt6,4exlWP8cokkWVCvyP3kg7c,61,2023-08-16,263752,False,https://open.spotify.com/track/4exlWP8cokkWVCvyP3kg7c,0.627,0.591,4,-7.908,1,0.0316,0.344,0.000134,0.159,0.358,140.018
Vũ Trụ Có Anh (feat. Pháo),"Phương Mỹ Chi, DTAP, Pháo",Vũ Trụ Cò Bay,1ksb2CCSSuCuu4TdoJp5cH,4bOwnJwm4Zy1vjnndHFLHj,46,2023-09-18,220957,False,https://open.spotify.com/track/4bOwnJwm4Zy1vjnndHFLHj,0.809,0.798,9,-6.57,0,0.0986,0.285,0.0,0.255,0.734,117.056
Yêu Nắm,"BigDaddy, Emily",Yêu Nắm,2bGZSxiP6DFzNId8HlHoGl,5f4u0kPnU21qNe6fXgAUiV,60,2024-02-13,227077,False,https://open.spotify.com/track/5f4u0kPnU21qNe6fXgAUiV,0.911,0.556,9,-6.087,0,0.0633,0.174,0.0245,0.0492,0.53,130.104
Trái đất ôm Mặt trời,"Kai Đinh, GREY D, Hoàng Thùy Linh",Trái đất ôm Mặt trời,56L3SxM76dbmYCD1tOziHB,4NTanSVXBkQ2NmDEbr2vLE,64,2023-12-18,194704,False,https://open.spotify.com/track/4NTanSVXBkQ2NmDEbr2vLE,0.686,0.656,5,-6.375,0,0.0562,0.612,5.45e-06,0.394,0.65,138.059
Cắt Đôi Nỗi Sầu,"Tăng Duy Tân, Drum7",Cắt Đôi Nỗi Sầu,7nzSwNbqVyu8leqBImvzEz,1ZgiJ8fiSEwd07OpB9ZuRz,53,2023-09-27,182000,False,https://open.spotify.com/track/1ZgiJ8fiSEwd07OpB9ZuRz,0.907,0.57,9,-8.185,0,0.0532,0.771,0.0166,0.104,0.582,120.042
ghệ iu dấu của em ơi,"tlinh, 2pillz, WOKEUP",ái,0LM9Cm43Sug8Hfpm84qmt6,4YSryHqsD82Krc81l1EJD5,55,2023-08-16,205138,False,https://open.spotify.com/track/4YSryHqsD82Krc81l1EJD5,0.654,0.517,8,-10.969,1,0.072,0.639,0.00964,0.179,0.211,105.013
